Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Age,Seniority,Total_Spending,Total_Purchases,Accepted_Total,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
25293.0,1,0,51,15.0,0.0,11,0.0,2.0,9.0,1,1,1,2,8,0,0,0,0,0,0,73,10647,37.0,5,0,0,1,0,0,1,0,0,0
33585.0,0,1,91,30.0,11.0,33,13.0,6.0,29.0,1,2,0,4,4,0,0,0,0,0,0,76,10637,122.0,7,0,0,0,1,0,1,0,0,0
30772.0,1,1,89,7.0,2.0,4,2.0,1.0,25.0,1,1,0,2,6,0,0,0,0,0,0,66,10469,41.0,4,0,0,1,0,0,1,0,0,0
59247.0,0,2,87,327.0,9.0,122,19.0,14.0,83.0,5,5,2,9,6,0,0,0,0,0,0,80,10593,574.0,21,0,0,0,1,0,0,1,0,0
46931.0,2,1,94,41.0,0.0,17,3.0,1.0,16.0,2,1,1,3,3,0,0,0,0,0,0,65,10426,78.0,7,0,0,1,0,0,0,0,1,0
32727.0,0,0,38,167.0,13.0,180,86.0,13.0,70.0,2,7,3,5,8,0,0,0,0,0,0,77,11030,529.0,17,0,0,0,0,1,0,0,1,0
50501.0,1,1,10,297.0,0.0,38,13.0,0.0,152.0,7,5,4,4,6,1,0,0,0,0,0,88,10736,500.0,20,1,0,1,0,0,1,0,0,0
79761.0,0,1,32,415.0,5.0,124,15.0,35.0,11.0,1,5,2,11,3,0,0,0,0,0,0,84,10628,605.0,19,0,0,0,0,1,0,1,0,0
26954.0,1,0,17,4.0,1.0,11,0.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,71,10412,17.0,4,0,0,1,0,0,0,1,0,0
60432.0,0,1,61,365.0,3.0,15,4.0,3.0,11.0,5,7,2,5,6,0,0,0,0,0,0,69,10472,401.0,19,0,0,0,1,0,1,0,0,0
47916.0,0,1,72,505.0,0.0,26,0.0,0.0,75.0,5,7,4,6,6,0,1,0,0,0,0,82,10944,606.0,22,1,0,1,0,0,0,0,0,1
55012.0,0,1,85,582.0,0.0,65,0.0,0.0,13.0,6,8,2,9,5,0,0,0,0,0,0,69,10460,660.0,25,0,0,0,0,1,0,0,1,0
76998.0,0,1,85,1449.0,89.0,161,69.0,35.0,107.0,2,11,8,8,6,0,0,1,0,0,0,87,10894,1910.0,29,1,0,1,0,0,1,0,0,0
48794.0,1,1,97,25.0,0.0,11,3.0,0.0,15.0,1,1,0,3,4,0,0,0,0,0,0,89,10363,54.0,5,0,0,1,0,0,0,0,1,0
61346.0,1,0,34,562.0,58.0,168,43.0,16.0,142.0,1,5,7,10,3,0,0,0,0,0,0,64,10626,989.0,23,0,0,0,1,0,0,0,1,0
102160.0,0,0,54,763.0,29.0,138,76.0,176.0,58.0,0,7,9,10,4,0,1,1,1,0,0,65,10964,1240.0,26,3,0,0,0,1,0,0,1,0
58554.0,1,1,55,368.0,24.0,68,38.0,0.0,88.0,6,8,2,6,7,0,0,0,0,0,0,74,11001,586.0,22,0,0,1,0,0,0,0,1,0
50943.0,0,1,49,31.0,0.0,7,2.0,0.0,6.0,1,1,0,3,5,0,0,0,0,0,0,86,10733,46.0,5,0,0,0,1,0,0,0,1,0
58710.0,0,1,77,440.0,81.0,368,0.0,122.0,174.0,6,11,5,9,6,0,0,0,0,0,0,72,10815,1185.0,31,0,0,1,0,0,0,0,0,0
57537.0,1,0,83,191.0,56.0,139,51.0,8.0,100.0,4,4,3,8,4,0,0,0,0,0,0,63,10744,545.0,19,0,0,1,0,0,0,1,0,0
14045.0,1,0,24,11.0,0.0,5,2.0,1.0,1.0,1,1,0,3,7,0,0,0,0,0,0,73,10514,20.0,5,0,0,1,0,0,1,0,0,0
67911.0,0,1,63,529.0,0.0,356,63.0,28.0,0.0,3,6,7,11,3,0,0,0,0,0,0,93,10398,976.0,27,0,0,0,0,1,0,0,1,0
35178.0,1,0,10,23.0,1.0,13,2.0,2.0,18.0,1,1,1,2,7,1,0,0,0,0,0,71,10895,59.0,5,1,0,0,1,0,1,0,0,0
87195.0,0,0,35,217.0,76.0,690,50.0,26.0,38.0,1,3,11,5,1,0,0,0,0,0,0,83,10412,1097.0,20,0,0,1,0,0,1,0,0,0
